Crop Type,Season,Soil Type,Farm Size,Soil Ph,Soil Moisture (%),Rainfall (mm),Avg Temperature (°C),Irrigation Type,Fertilizer Used (kg),Pesticide Used (kg),Seed Quality,Farming Practice,Farmer Experience (years),Access to Credit,Govt. Subsidy Received,Expected Yield (kg per acre),Actual Yield (kg per acre),Yield Success
Wheat,Kharif,Loamy,13.78,7,43.6,1042.7,18.9,Flood,110.5,4.05,Hybrid,Conventional,39,1,0,2853,3927,1
Cotton,Rabi,Loamy,16.14,7.8,48.4,424.1,22.5,Flood,67.8,3.66,Certified,Organic,16,0,0,467,720,1
Maize,Zaid,Black,5.76,7.7,71.3,1334.1,37.9,Drip,89.7,2.17,Hybrid,Conventional,3,0,1,2422,3412,1
Maize,Rabi,Loamy,12.87,5.5,40.4,997.1,36.4,Rainfed,58,6.27,Certified,Mixed,20,1,0,2180,3413,1
Rice,Rabi,Loamy,11.86,5.5,72.2,404.4,26.4,Flood,79.3,5.03,Certified,Conventional,10,0,1,2410,2344,0
Rice,Rabi,Silty,16.82,5.9,25.3,1451,27,Sprinkler,47.5,8.72,Local,Mixed,22,0,1,3012,1900,0
Rice,Rabi,Loamy,18.22,6.3,66.6,873.9,30.8,Rainfed,43.1,0.81,Hybrid,Conventional,3,0,0,2374,3942,1
Sugarcane,Rabi,Silty,1.23,6.4,70.9,294.8,18,Sprinkler,73.6,6.62,Local,Mixed,11,1,1,25637,24536,0
Maize,Kharif,Clay,13.81,7.4,30.9,1014.9,23.8,Flood,64.8,7.75,Hybrid,Conventional,25,0,1,2872,4120,1
Maize,Rabi,Loamy,1.98,5.2,45.8,529.2,23,Drip,73.7,7.72,Hybrid,Mixed,8,1,1,1993,3397,1
Rice,Kharif,Clay,11.43,5.1,29.9,1244.8,24,Rainfed,41.5,8.92,Hybrid,Mixed,9,1,1,2249,2759,1
Cotton,Zaid,Clay,6.47,6.4,62.4,1263.2,37.3,Flood,50.4,7.43,Hybrid,Conventional,15,1,1,599,745,1
Sugarcane,Zaid,Black,6.83,7.4,52.1,1472.6,24.7,Flood,19.2,9.31,Local,Mixed,32,1,0,33649,37474,1
Rice,Kharif,Clay,7.71,5.7,58.1,852.4,22.6,Sprinkler,15.8,3.66,Certified,Mixed,3,1,0,2717,1539,0
Rice,Rabi,Sandy,12.8,7.2,31.8,791.4,30.1,Flood,37.9,5.28,Local,Conventional,4,1,0,3363,2656,0
Rice,Zaid,Loamy,7.35,5.9,32.7,1179.5,38.8,Rainfed,18.2,0.63,Local,Conventional,30,0,1,3339,1659,0
Wheat,Kharif,Loamy,14.92,8.1,22.5,372.2,23.8,Flood,21.4,0.57,Hybrid,Organic,13,1,0,2785,1502,0
Wheat,Rabi,Black,8.69,8.1,39.3,911,19.9,Flood,99.4,2.78,Local,Mixed,21,1,0,2585,2495,0
Wheat,Zaid,Clay,2.3,6,53.6,910.1,26.6,Flood,14.3,1.46,Hybrid,Organic,19,1,1,1635,2928,1
Rice,Kharif,Silty,15.89,5.8,71.5,316.3,35.9,Rainfed,82.5,2.97,Local,Organic,39,1,0,2812,2153,0
Maize,Rabi,Black,6.43,6.4,60,743.4,31.2,Flood,40,2.18,Hybrid,Conventional,22,0,0,2670,3194,1
Rice,Kharif,Sandy,9.22,5.8,46.1,1309.3,37.6,Rainfed,105.9,0.77,Certified,Conventional,20,0,0,2668,2510,0
Rice,Zaid,Black,14.02,7.4,77.2,1313,41,Rainfed,63.3,9.14,Local,Mixed,37,1,1,2860,1778,0
Wheat,Zaid,Clay,7.32,7.9,63.2,329,37,Flood,43.6,0.58,Hybrid,Mixed,31,1,0,2761,1448,0
Wheat,Zaid,Loamy,2.08,7.4,75.8,317.9,32.5,Sprinkler,66.9,7.49,Hybrid,Conventional,10,0,0,2291,3262,1
Sugarcane,Rabi,Loamy,8.1,7.9,51.7,541.5,29.8,Flood,52,1.95,Hybrid,Organic,18,1,0,35884,47704,1
Rice,Zaid,Silty,18.94,6.4,35.5,1337.2,19,Rainfed,72.1,9.17,Certified,Mixed,39,0,0,2881,3539,1
Wheat,Rabi,Black,13.19,5.5,23.2,367.6,41.6,Sprinkler,22.6,8.98,Hybrid,Conventional,20,1,0,2486,2292,0
Maize,Kharif,Loamy,13.76,7.6,63.6,1136,27.2,Flood,119.7,6.71,Local,Conventional,18,1,0,2329,2106,0
Rice,Rabi,Silty,13.01,6.3,27.3,331.5,21.7,Rainfed,56.8,6.89,Certified,Conventional,11,1,1,3491,3142,0
Maize,Kharif,Clay,4.78,7.3,38.2,1010.1,34,Sprinkler,48.3,0.55,Certified,Conventional,22,1,0,2660,2305,0
Rice,Rabi,Sandy,8.95,5.9,51.9,662.9,24.8,Flood,88.1,9.86,Certified,Conventional,18,1,1,3312,2564,0
Rice,Kharif,Loamy,15.27,5.3,53.9,1225.6,32.1,Sprinkler,50,8.84,Hybrid,Mixed,34,0,0,2851,3979,1
Cotton,Kharif,Black,2.93,8.5,56,503.8,32.1,Drip,101.7,9,Hybrid,Conventional,23,0,0,522,675,1
Cotton,Kharif,Sandy,6.28,5.5,30,1031,28.7,Rainfed,60,6.76,Local,Mixed,1,0,1,561,302,0
Sugarcane,Rabi,Loamy,6.25,8.5,42.8,506.4,38.1,Drip,89.2,3.78,Local,Conventional,10,0,0,36639,26848,0
Wheat,Kharif,Clay,9.21,8.4,57,1127.8,24.4,Sprinkler,21.8,8.99,Hybrid,Conventional,1,1,1,2145,1346,0
Rice,Rabi,Clay,19.63,7.8,78.2,1335.8,28.8,Rainfed,103.1,3.27,Certified,Mixed,38,0,1,2690,1863,0
Maize,Kharif,Loamy,2.28,7.3,63.7,364.8,30.9,Sprinkler,90.9,5.85,Local,Conventional,39,1,1,2740,2104,0
Wheat,Kharif,Loamy,10.86,7,75.4,1326.6,33.9,Rainfed,33.3,1.45,Local,Conventional,9,0,1,1864,1471,0
